year,total_mm,anom_pct,anom_z,spi3,nino34,dmi,nino34_AS,dmi_AS,nino34_AS_L1,dmi_AS_L1
1981,186.46944427490234,-23.357336408799544,-0.49251460483815535,-0.46637852199332375,0.3625,0.08091666666666668,-0.125,-0.6925,,
1982,352.77770233154297,44.99867722248705,1.0258713746926444,1.1454858297090955,1.2383333333333335,-0.04324999999999999,1.16,0.349,-0.125,-0.6925
1983,165.24105072021484,-32.08262988580974,-0.6863287636661658,-0.735657978470228,-0.6841666666666667,-0.2758333333333333,-0.315,0.13799999999999998,1.16,0.349
1984,243.45551681518555,0.06507686685646956,0.027765353504154665,0.16608470239949197,-0.8841666666666667,-0.428,-0.375,-0.5529999999999999,-0.315,0.13799999999999998
1985,152.757568359375,-37.213590310714636,-0.800302325856708,-0.9052990440033425,-0.2816666666666667,-0.258,-0.53,-0.34850000000000003,-0.375,-0.5529999999999999
1986,229.35303497314453,-5.731324660608363,-0.10098959201544788,0.019722100138351673,1.1591666666666667,0.02258333333333333,0.415,-0.2715,-0.53,-0.34850000000000003
1987,126.1968765258789,-48.13056481482205,-1.0428000981133536,-1.3012283714839654,-0.19000000000000003,-0.12533333333333332,1.505,0.345,0.415,-0.2715
1988,204.10272598266602,-16.109705660543494,-0.33152363523118217,-0.2581958712797498,-1.24,-0.337,-1.385,-0.3415,1.505,0.345
1989,280.5643844604492,15.317562174816002,0.3665674371002833,0.5260472656637171,0.06416666666666666,-0.2975,-0.48,-0.273,-1.385,-0.3415
1990,221.63129043579102,-8.905115794136346,-0.17148872885953054,-0.06298350531470721,0.3358333333333334,0.07108333333333335,0.14500000000000002,-0.2875,-0.48,-0.273
1991,192.39406967163086,-20.92219711318433,-0.438423074799395,-0.39499454687306584,0.9658333333333333,-0.44416666666666665,0.325,0.0785,0.14500000000000002,-0.2875
1992,255.10723495483398,4.854165594551885,0.13414495044913302,0.2828046140435983,0.33,-0.2285,-0.14500000000000002,-0.8005,0.325,0.0785
1993,148.76267623901367,-38.855570711603306,-0.8367754887421543,-0.9616073449882873,0.18000000000000002,0.23291666666666666,0.21000000000000002,-0.2375,-0.14500000000000002,-0.8005
1994,302.0600814819336,24.15272271214881,0.5628220630524585,0.7203488031267663,0.43083333333333335,0.039,0.46,0.67,0.21000000000000002,-0.2375
1995,183.4873390197754,-24.583041192502854,-0.5197410748991175,-0.5028946885840517,-0.4708333333333334,-0.3145833333333333,-0.475,-0.16199999999999998,0.46,0.67
1996,144.48723983764648,-40.61286041174568,-0.8758100067154027,-1.023045569721249,0.5216666666666666,-0.02441666666666667,-0.32,-0.6965,-0.475,-0.16199999999999998
1997,642.4303588867188,164.05170063327122,3.6703854703032306,3.0314814890441344,0.9841666666666667,0.23166666666666666,2.02,0.7025,-0.32,-0.6965
1998,106.78754425048828,-56.108187796952706,-1.220006319520415,-1.6294796859412612,-1.09,-0.17049999999999998,-0.825,-0.538,2.02,0.7025
1999,196.99090957641602,-19.032804157812745,-0.3964541591055253,-0.3406315162166509,-1.0191666666666668,-0.008666666666666668,-0.9099999999999999,-0.013500000000000002,-0.825,-0.538
2000,227.6023178100586,-6.450904359553152,-0.11697355111414931,0.001136210992839908,-0.4383333333333333,-0.11816666666666666,-0.375,0.0175,-0.9099999999999999,-0.013500000000000002
2001,186.5352439880371,-23.330291413316257,-0.491913856787226,-0.46557730221931387,0.17416666666666666,-0.16933333333333334,-0.17500000000000002,-0.262,-0.375,0.0175
2002,287.803466796875,18.292969509659216,0.4326598924764586,0.5925403209002578,0.47333333333333333,0.01133333333333334,0.76,0.03899999999999999,-0.17500000000000002,-0.262
2003,176.71393203735352,-27.3670466618103,-0.5815819378601298,-0.5873675517263037,0.295,-0.12883333333333333,0.1,0.0235,0.76,0.03899999999999999
2004,226.49348068237305,-6.906658551802197,-0.1270971779739023,-0.010684973948847218,0.31916666666666665,-0.23275,0.665,-0.119,0.1,0.0235
2005,94.43943881988525,-61.1835056013602,-1.332743897189049,-1.8611432025403167,-0.25416666666666665,-0.10483333333333333,-0.06,-0.4395,0.665,-0.119
2006,463.34525299072266,90.444147509734,2.0353475166096775,1.9516564383551542,0.059166666666666666,0.22133333333333335,0.5,0.3285,-0.06,-0.4395
2007,165.9704475402832,-31.782833233750353,-0.6796694076122471,-0.7260233643047771,-0.965,0.0545,-0.8049999999999999,0.2355,0.5,0.3285
2008,191.33501434326172,-21.3574899922525,-0.44809219635074593,-0.407643906430664,-0.13333333333333333,0.018750000000000003,-0.16,0.105,-0.8049999999999999,0.2355
2009,267.2309875488281,9.837269904953379,0.24483419807357368,0.40055584454755444,0.32916666666666666,0.06033333333333333,0.65,-0.1035,-0.16,0.105
2010,136.2004623413086,-44.01889136966835,-0.9514678658798315,-1.1458308152503651,-0.9966666666666666,0.045500000000000006,-1.445,-0.165,0.65,-0.1035
2011,384.8906784057617,58.19775137503378,1.3190612210771537,1.394528876509675,-0.32333333333333336,0.13075,-0.71,0.273,-1.445,-0.165
2012,260.43341064453125,7.043330115315358,0.18277266494903366,0.33498141203509196,-0.15666666666666668,-0.12491666666666666,0.55,0.5525,-0.71,0.273
2013,196.08148956298828,-19.40659393566767,-0.40475711780420337,-0.35131761291507735,0.04666666666666667,-0.10225000000000001,-0.19,-0.252,0.55,0.5525
2014,224.6958236694336,-7.645531465972321,-0.14350969552623494,-0.02993229926101615,1.0366666666666666,0.09375,0.255,-0.2585,-0.19,-0.252
2015,315.7567672729492,29.782333962813517,0.687872111162721,0.8394719873140185,1.165,-0.06666666666666667,1.94,0.4305,0.255,-0.2585
2016,137.9217987060547,-43.311387765292075,-0.9357521519830697,-1.1199051247354017,-0.17583333333333337,0.13916666666666666,-0.47,-0.4405,1.94,0.4305
2017,216.61176872253418,-10.968239409664005,-0.2173167080736708,-0.11778905256603553,-0.3558333333333333,0.10683333333333334,-0.37,0.1915,-0.47,-0.4405
2018,207.85474014282227,-14.567552949226704,-0.29726793583084327,-0.21548610756832706,0.6166666666666667,0.48741666666666666,0.175,0.363,-0.37,0.1915
2019,525.3389129638672,115.92477917346278,2.6013464947900866,2.350939563164611,0.19333333333333336,0.248,0.15,0.6645,0.175,0.363
2020,233.1527099609375,-4.1695823978063755,-0.06629875167080429,0.05973572608294284,-0.665,0.04633333333333333,-0.54,-0.1865,0.15,0.6645
2021,201.8550033569336,-17.033564525035892,-0.3520452290513995,-0.28403685531502715,-0.8574999999999999,-0.13849999999999998,-0.44,-0.0785,-0.54,-0.1865
2022,200.3279800415039,-17.661201587587858,-0.36598687464169494,-0.301703602757989,0.1608333333333333,0.29716666666666663,-1.01,-0.28400000000000003,-0.44,-0.0785
2023,459.65640258789057,88.92795636344773,2.0016684991171174,1.9268644613641168,0.9491666666666667,0.45316666666666666,1.605,0.8855,-1.01,-0.28400000000000003
2024,254.92848587036133,4.780696152940444,0.1325129803540292,0.28104105740526575,-6666.125833333333,-0.2805,-0.045,0.191,1.605,0.8855
2025,,,,,-9999.0,,-9999.0,,-0.045,0.191
